City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,53.26,43,75,8.05,broken clouds
1,Roebourne,AU,-20.7833,117.1333,82.89,40,13,18.16,few clouds
2,Yellowknife,CA,62.456,-114.3525,5.56,92,75,4.61,light snow
3,Vaini,TO,-21.2,-175.2,78.96,83,75,3.44,broken clouds
4,Pombal,BR,-6.7703,-37.8017,79.79,61,38,13.53,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,73.76,91,100,22.32,heavy intensity rain
6,Grindavik,IS,63.8424,-22.4338,46.87,87,75,17.27,broken clouds
7,Valencia,ES,39.3333,-0.8333,65.61,77,97,24.81,overcast clouds
8,Copiapo,CL,-27.3667,-70.3333,56.89,69,0,1.01,clear sky
9,Mecca,SA,21.4267,39.8261,76.71,72,69,3.18,broken clouds
10,Wewak,PG,-3.5534,143.6268,85.96,67,100,7.81,overcast clouds
11,College,US,64.8569,-147.8028,5.07,86,20,0.0,few clouds
12,Busselton,AU,-33.65,115.3333,63.07,53,85,21.7,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,12.66,clear sky
14,Hobart,AU,-42.8794,147.3294,60.26,66,20,14.97,few clouds
15,Provideniya,RU,64.3833,-173.3,35.71,87,100,18.01,fog
16,Barrow,US,71.2906,-156.7887,24.82,80,0,16.11,clear sky
17,Atuona,PF,-9.8,-139.0333,78.46,76,9,16.64,clear sky
18,Port Hueneme,US,34.1478,-119.1951,66.38,35,0,10.36,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,92,8.01,overcast clouds
20,Cidreira,BR,-30.1811,-50.2056,65.43,64,0,4.61,clear sky
21,Ribeira Grande,PT,38.5167,-28.7,62.78,60,56,8.99,broken clouds
22,Geraldton,AU,-28.7667,114.6,66.61,72,75,14.97,broken clouds
23,Phan Thiet,VN,10.9333,108.1,88.79,57,81,12.01,broken clouds
24,Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,broken clouds
25,Saint-Augustin,CA,51.226,-58.6502,24.3,86,100,3.09,overcast clouds
26,Bardiyah,LY,31.7561,25.0865,62.85,56,0,12.3,clear sky
27,Aklavik,CA,68.2191,-135.0107,8.2,78,83,2.98,broken clouds
28,Albany,US,42.6001,-73.9662,36.52,90,56,5.59,broken clouds
29,Soe,ID,-9.8607,124.284,83.89,47,95,6.17,overcast clouds
30,Wasilla,US,61.5814,-149.4394,34.93,74,0,7.0,clear sky
31,Kirakira,SB,-10.4544,161.9205,82.85,79,79,2.86,broken clouds
32,Ouallam,NE,14.3188,2.0866,69.66,17,3,11.27,clear sky
33,Pandan,PH,14.0453,124.1694,83.35,79,90,8.9,overcast clouds
34,Mirnyy,RU,62.5353,113.9611,-1.77,84,99,1.99,overcast clouds
35,Isangel,VU,-19.55,169.2667,83.01,68,94,8.59,overcast clouds
36,Mahebourg,MU,-20.4081,57.7,76.24,78,40,2.3,scattered clouds
37,Port Hardy,CA,50.6996,-127.4199,30.38,100,20,4.61,few clouds
38,Moyamba,SL,8.1667,-12.4333,72.63,95,94,1.21,overcast clouds
39,Castro,BR,-24.7911,-50.0119,53.91,83,0,6.78,clear sky
40,Smithers,CA,54.7804,-127.1743,30.52,80,75,3.44,broken clouds
